,01/06/22,02/06/22,03/06/22,04/06/22,05/06/22,06/06/22,07/06/22,08/06/22,09/06/22,10/06/22,11/06/22,12/06/22,13/06/22,14/06/22,15/06/22,16/06/22,17/06/22,18/06/22,19/06/22,20/06/22,21/06/22,22/06/22,23/06/22,24/06/22,25/06/22,26/06/22,27/06/22,28/06/22,29/06/22,30/06/22
00:00:00,,,,,,,,,,x,,,,,,,x,,,,,,,,,,x,,,
01:00:00,,,,,,,,,,x,,,,,,,x,,,,,,,,,,x,,,
02:00:00,,,,,,,,,,x,,,,,,,x,,,,,,,,,,x,,,
03:00:00,,,,,,,,,,x,,,,,,,x,,,,,,,,,,x,,,
04:00:00,,,,,,,,,,x,,,,,,,x,,,,,,,,,,x,,,
05:00:00,x,x,x,,,x,x,x,x,x,,,x,x,x,x,x,,,x,x,x,x,,,,x,x,x,x
06:00:00,x,x,x,,,x,x,x,x,x,,,x,x,x,x,x,,,x,x,x,x,,,,x,x,x,x
07:00:00,x,x,x,,,x,x,x,x,x,,,x,x,x,x,x,,,x,x,x,x,,,,x,x,x,x
08:00:00,x,x,x,,,x,x,x,x,x,,,x,x,x,x,x,,,x,x,x,x,,,,x,x,x,x
09:00:00,x,x,x,,,x,x,x,x,x,,,x,x,x,x,x,,,x,x,x,x,,,,x,x,x,x
10:00:00,x,x,x,,,x,x,x,x,x,,,x,x,x,x,x,,,x,x,x,x,,,,x,x,x,x
11:00:00,x,x,x,,,x,x,x,x,x,,,x,x,x,x,x,,,x,x,x,x,,,,x,x,x,x
12:00:00,x,x,x,,,x,x,x,x,x,,,x,x,x,x,x,,,x,x,x,x,,,,x,x,x,x
13:00:00,x,x,x,,,x,x,x,x,x,,,x,x,x,x,x,,,x,x,x,x,,,,,x,x,x
14:00:00,x,x,x,,,x,x,x,x,x,,,x,x,x,x,x,,,x,x,x,x,,,,,x,x,x
15:00:00,x,x,x,,,x,x,x,x,,,,x,x,x,x,,,,x,x,x,x,,,,,x,x,x
16:00:00,x,x,x,,,x,x,x,x,,,,x,x,x,x,,,,x,x,x,x,,,,,x,x,x
17:00:00,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,
18:00:00,,,,,,,,,x,,,,,,,x,,,,,,,,,,x,,,,
19:00:00,,,,,,,,,x,,,,,,,x,,,,,,,,,,x,,,,
20:00:00,,,,,,,,,x,,,,,,,x,,,,,,,,,,x,,,,
21:00:00,,,,,,,,,x,,,,,,,x,,,,,,,,,,x,,,,
22:00:00,,,,,,,,,x,,,,,,,x,,,,,,,,,,x,,,,
23:00:00,,,,,,,,,x,,,,,,,x,,,,,,,,,,x,,,,
